Box,Treatment,Block,Leaf,Leaflet,Direction,Te,Tu
9,10Te10Tu,2,3,1,Down,1,4
9,10Te10Tu,2,3,2,Down,12,7
9,10Te10Tu,2,3,3,Down,20,1
9,10Te10Tu,2,3,4,Down,10,9
9,10Te10Tu,2,3,5,Down,2,3
9,10Te10Tu,2,3,1,Up,0,14
9,10Te10Tu,2,3,2,Up,38,22
9,10Te10Tu,2,3,3,Up,37,3
9,10Te10Tu,2,3,4,Up,27,31
9,10Te10Tu,2,3,5,Up,3,23
9,10Te10Tu,2,4,1,Down,43,1
9,10Te10Tu,2,4,2,Down,7,0
9,10Te10Tu,2,4,3,Down,0,0
9,10Te10Tu,2,4,4,Down,13,0
9,10Te10Tu,2,4,5,Down,4,2
9,10Te10Tu,2,4,1,Up,102,6
9,10Te10Tu,2,4,2,Up,19,5
9,10Te10Tu,2,4,3,Up,0,0
9,10Te10Tu,2,4,4,Up,14,0
9,10Te10Tu,2,4,5,Up,6,8
9,10Te10Tu,2,5,1,Down,0,1
9,10Te10Tu,2,5,2,Down,3,2
9,10Te10Tu,2,5,3,Down,12,2
9,10Te10Tu,2,5,4,Down,0,0
9,10Te10Tu,2,5,5,Down,0,0
9,10Te10Tu,2,5,1,Up,1,10
9,10Te10Tu,2,5,2,Up,14,14
9,10Te10Tu,2,5,3,Up,17,17
9,10Te10Tu,2,5,4,Up,0,3
9,10Te10Tu,2,5,5,Up,0,3
10,10Te10Tu,2,2,1,Down,1,0
10,10Te10Tu,2,2,2,Down,0,6
10,10Te10Tu,2,2,3,Down,4,13
10,10Te10Tu,2,2,1,Up,3,1
10,10Te10Tu,2,2,2,Up,3,2
10,10Te10Tu,2,2,3,Up,10,2
10,10Te10Tu,2,3,1,Down,0,0
10,10Te10Tu,2,3,2,Down,1,12
10,10Te10Tu,2,3,3,Down,5,2
10,10Te10Tu,2,3,4,Down,0,5
10,10Te10Tu,2,3,5,Down,0,2
10,10Te10Tu,2,3,1,Up,3,2
10,10Te10Tu,2,3,2,Up,4,10
10,10Te10Tu,2,3,3,Up,15,10
10,10Te10Tu,2,3,4,Up,8,11
10,10Te10Tu,2,3,5,Up,2,15
10,10Te10Tu,2,4,1,Down,4,0
10,10Te10Tu,2,4,2,Down,1,0
10,10Te10Tu,2,4,3,Down,1,5
10,10Te10Tu,2,4,4,Down,0,0
10,10Te10Tu,2,4,5,Down,0,0
10,10Te10Tu,2,4,1,Up,1,0
10,10Te10Tu,2,4,2,Up,8,3
10,10Te10Tu,2,4,3,Up,12,6
10,10Te10Tu,2,4,4,Up,2,0
10,10Te10Tu,2,4,5,Up,6,2
10,10Te10Tu,2,5,1,Down,0,0
10,10Te10Tu,2,5,2,Down,0,2
10,10Te10Tu,2,5,3,Down,0,3
10,10Te10Tu,2,5,4,Down,0,10
10,10Te10Tu,2,5,5,Down,1,2
10,10Te10Tu,2,5,1,Up,0,1
10,10Te10Tu,2,5,2,Up,2,10
10,10Te10Tu,2,5,3,Up,0,11
10,10Te10Tu,2,5,4,Up,1,10
10,10Te10Tu,2,5,5,Up,3,4
1,10Te10Tu48h,1,2,1,Down,0,0
1,10Te10Tu48h,1,2,2,Down,0,0
1,10Te10Tu48h,1,2,3,Down,0,0
1,10Te10Tu48h,1,2,1,Up,0,0
1,10Te10Tu48h,1,2,2,Up,0,0
1,10Te10Tu48h,1,2,3,Up,0,0
1,10Te10Tu48h,1,3,1,Down,0,0
1,10Te10Tu48h,1,3,2,Down,0,1
1,10Te10Tu48h,1,3,3,Down,1,5
1,10Te10Tu48h,1,3,4,Down,1,4
1,10Te10Tu48h,1,3,5,Down,1,1
1,10Te10Tu48h,1,3,1,Up,8,10
1,10Te10Tu48h,1,3,2,Up,0,3
1,10Te10Tu48h,1,3,3,Up,7,20
1,10Te10Tu48h,1,3,4,Up,1,13
1,10Te10Tu48h,1,3,5,Up,1,9
1,10Te10Tu48h,1,4,1,Down,6,0
1,10Te10Tu48h,1,4,2,Down,0,0
1,10Te10Tu48h,1,4,3,Down,6,0
1,10Te10Tu48h,1,4,4,Down,1,0
1,10Te10Tu48h,1,4,5,Down,2,2
1,10Te10Tu48h,1,4,1,Up,16,11
1,10Te10Tu48h,1,4,2,Up,5,1
1,10Te10Tu48h,1,4,3,Up,7,0
1,10Te10Tu48h,1,4,4,Up,3,0
1,10Te10Tu48h,1,4,5,Up,29,2
1,10Te10Tu48h,1,5,1,Down,0,2
1,10Te10Tu48h,1,5,2,Down,0,5
1,10Te10Tu48h,1,5,3,Down,0,6
1,10Te10Tu48h,1,5,4,Down,0,2
1,10Te10Tu48h,1,5,5,Down,10,4
1,10Te10Tu48h,1,5,1,Up,1,6
1,10Te10Tu48h,1,5,2,Up,2,2
1,10Te10Tu48h,1,5,3,Up,2,0
1,10Te10Tu48h,1,5,4,Up,1,5
1,10Te10Tu48h,1,5,5,Up,5,16
2,10Te10Tu48h,1,2,1,Down,0,0
2,10Te10Tu48h,1,2,2,Down,3,4
2,10Te10Tu48h,1,2,3,Down,0,3
2,10Te10Tu48h,1,2,1,Up,0,0
2,10Te10Tu48h,1,2,2,Up,3,16
2,10Te10Tu48h,1,2,3,Up,3,4
2,10Te10Tu48h,1,3,1,Down,3,4
2,10Te10Tu48h,1,3,2,Down,2,6
