Treatment	Box	Leaf	Age
10Te48h10Tu	3	5	old
10Te48h10Tu	4	2	old
10Te48h10Tu	4	3	new
10Te48h10Tu	4	4	old
10Te48h10Tu	4	5	new
10Te48h10Tu	5	2	new
10Te48h10Tu	5	3	old
10Te48h10Tu	5	4	new
10Te48h10Tu	5	5	old
10Te48h10Tu	6	2	old
10Te48h10Tu	6	3	new
10Te48h10Tu	6	4	old
10Te48h10Tu	6	5	new
10Te48h10Tu	7	2	new
10Te48h10Tu	7	3	old
10Te48h10Tu	7	4	new
10Te48h10Tu	7	5	old
10Te48h10Tu	8	2	old
10Te48h10Tu	8	3	new
10Te48h10Tu	8	4	old
10Te48h10Tu	8	5	new
10Te48h10Tu	9	2	new
10Te48h10Tu	9	3	old
10Te48h10Tu	9	4	new
10Te48h10Tu	9	5	old
10Te48h10Tu	10	2	old
10Te48h10Tu	10	3	new
10Te48h10Tu	10	4	old
10Te48h10Tu	10	5	new
1Te19Tu	1	2	new
1Te19Tu	1	3	old
1Te19Tu	1	4	new
1Te19Tu	1	5	old
1Te19Tu	2	2	old
1Te19Tu	2	3	new
1Te19Tu	2	4	old
1Te19Tu	2	5	new
1Te19Tu	3	2	new
1Te19Tu	3	3	old
1Te19Tu	3	4	new
1Te19Tu	3	5	old
1Te19Tu	4	2	old
1Te19Tu	4	3	new
1Te19Tu	4	4	old
1Te19Tu	4	5	new
1Te19Tu	5	2	new
1Te19Tu	5	3	old
1Te19Tu	5	4	new
1Te19Tu	5	5	old
1Te19Tu	6	2	old
1Te19Tu	6	3	new
1Te19Tu	6	4	old
1Te19Tu	6	5	new
1Te19Tu	7	2	new
1Te19Tu	7	3	old
1Te19Tu	7	4	new
1Te19Tu	7	5	old
1Te19Tu	8	2	old
1Te19Tu	8	3	new
1Te19Tu	8	4	old
1Te19Tu	8	5	new
1Te19Tu	9	2	new
1Te19Tu	9	3	old
1Te19Tu	9	4	new
1Te19Tu	9	5	old
1Te19Tu	10	2	old
1Te19Tu	10	3	new
1Te19Tu	10	4	old
1Te19Tu	10	5	new
